State,County,"MCO Name","Service Category","Number of Active Patients","Number of Eligible MCO Patients","Number of Providers","Percent Of Eligible Patients Receiving Services","Number of Services per Active Patient","Number of Active Patients per Provider","Calendar Year","Plan Category"
Arizona,Apache,"United Healthcare","Behavioral Health",*,*,11,10.47%,7,*,2020,Comprehensive MCO
Arizona,Apache,"Mercy Care","Behavioral Health",*,*,8,30.56%,9,*,2020,Comprehensive MCO
Arizona,Apache,"Banner University Family Care","Behavioral Health",*,*,7,5.88%,1,*,2020,Comprehensive MCO
Arizona,Apache,"Ltc Dd Des","Behavioral Health",67,107,17,62.62%,371,4:01,2020,Comprehensive MCO
Arizona,Apache,"Az Complete Health","Behavioral Health",*,*,10,15.79%,10,*,2020,Comprehensive MCO
Arizona,Apache,Care1st,"Behavioral Health",87,"1,123",14,7.75%,25,7:01,2020,Comprehensive MCO
Arizona,Apache,Dcs/Chp,"Behavioral Health",*,*,1,0.00%,,*,2020,Comprehensive MCO
Arizona,Apache,"Health Choice Arizona","Behavioral Health",251,"9,144",14,2.74%,36,18:01,2020,Comprehensive MCO
Arizona,Apache,Molina,"Behavioral Health",*,*,2,0.00%,,*,2020,Comprehensive MCO
Arizona,Apache,Cenpatico,"Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Apache,"Ltc Dd Des","Behavioral Health",124,216,15,57.41%,344,9:01,2021,Comprehensive MCO
Arizona,Apache,"Health Choice Arizona","Behavioral Health",367,"14,049",15,2.61%,21,25:01:00,2021,Comprehensive MCO
Arizona,Apache,"Banner University Family Care","Behavioral Health",*,*,11,10.34%,6,*,2021,Comprehensive MCO
Arizona,Apache,"Az Complete Health","Behavioral Health",*,*,11,7.14%,16,*,2021,Comprehensive MCO
Arizona,Apache,"United Healthcare","Behavioral Health",*,*,12,8.55%,15,*,2021,Comprehensive MCO
Arizona,Apache,Dcs/Chp,"Behavioral Health",*,*,6,46.15%,94,*,2021,Comprehensive MCO
Arizona,Apache,Care1st,"Behavioral Health",123,"1,586",16,7.76%,24,8:01,2021,Comprehensive MCO
Arizona,Apache,"Mercy Care","Behavioral Health",*,*,11,35.04%,7,*,2021,Comprehensive MCO
Arizona,Apache,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Apache,Molina,"Behavioral Health",*,*,5,0.00%,,*,2021,Comprehensive MCO
Arizona,Apache,"Ltc Dd Des","Behavioral Health",126,224,19,56.25%,332,7:01,2022,Comprehensive MCO
Arizona,Apache,Molina,"Behavioral Health",*,*,5,0.00%,,*,2022,Comprehensive MCO
Arizona,Apache,Care1st,"Behavioral Health",253,"16,066",14,1.57%,22,19:01,2022,Comprehensive MCO
Arizona,Apache,"United Healthcare","Behavioral Health",*,*,15,15.00%,20,*,2022,Comprehensive MCO
Arizona,Apache,"Az Complete Health","Behavioral Health",18,79,15,22.78%,21,2:01,2022,Comprehensive MCO
Arizona,Apache,"Banner University Family Care","Behavioral Health",*,*,9,10.81%,3,*,2022,Comprehensive MCO
Arizona,Apache,"Mercy Care","Behavioral Health",66,238,13,27.73%,10,6:01,2022,Comprehensive MCO
Arizona,Apache,"Health Choice Arizona","Behavioral Health",392,"17,679",19,2.22%,18,21:01,2022,Comprehensive MCO
Arizona,Apache,Dcs/Chp,"Behavioral Health",*,*,8,45.00%,102,*,2022,Comprehensive MCO
Arizona,Apache,Dcs/Chp,"Behavioral Health",*,*,10,81.82%,75,*,2023,Comprehensive MCO
Arizona,Apache,Care1st,"Behavioral Health",465,"22,914",20,2.03%,33,24:01:00,2023,Comprehensive MCO
Arizona,Apache,"United Healthcare","Behavioral Health",*,*,18,9.91%,7,*,2023,Comprehensive MCO
Arizona,Apache,"Health Choice Arizona","Behavioral Health",379,"4,072",18,9.31%,31,22:01,2023,Comprehensive MCO
Arizona,Apache,"Mercy Care","Behavioral Health",121,395,14,30.63%,12,9:01,2023,Comprehensive MCO
Arizona,Apache,Molina,"Behavioral Health",*,*,4,9.09%,25,*,2023,Comprehensive MCO
Arizona,Apache,"Banner University Family Care","Behavioral Health",*,*,13,17.14%,5,*,2023,Comprehensive MCO
Arizona,Apache,"Az Complete Health","Behavioral Health",29,101,16,28.71%,26,2:01,2023,Comprehensive MCO
Arizona,Apache,"Ltc Dd Des","Behavioral Health",137,241,16,56.85%,269,9:01,2023,Comprehensive MCO
Arizona,Apache,"Health Choice Arizona","Behavioral Health",577,"5,039",15,11.45%,67,39:01:00,2024,Comprehensive MCO
Arizona,Apache,"Az Complete Health","Behavioral Health",331,"32,843",21,1.01%,16,16:01,2024,Comprehensive MCO
Arizona,Apache,"Ltc Dd Des","Behavioral Health",150,262,14,57.25%,269,11:01,2024,Comprehensive MCO
Arizona,Apache,"United Healthcare","Behavioral Health",18,139,16,12.95%,10,2:01,2024,Comprehensive MCO
Arizona,Apache,"Banner University Family Care","Behavioral Health",*,*,17,14.29%,44,*,2024,Comprehensive MCO
Arizona,Apache,"Mercy Care","Behavioral Health",141,913,19,15.44%,21,8:01,2024,Comprehensive MCO
Arizona,Apache,Care1st,"Behavioral Health",546,"35,867",15,1.52%,24,37:01:00,2024,Comprehensive MCO
Arizona,Apache,Molina,"Behavioral Health",*,*,5,0.00%,,*,2024,Comprehensive MCO
Arizona,Apache,Dcs/Chp,"Behavioral Health",*,*,10,60.00%,27,*,2024,Comprehensive MCO
Arizona,Cochise,"Banner University Family Care","Behavioral Health","1,299","12,462",170,10.42%,33,8:01,2020,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,"Behavioral Health",*,*,3,2.53%,1,*,2020,Comprehensive MCO
Arizona,Cochise,"Bridgeway Health Solution","Behavioral Health",*,*,0,0.00%,,*,2020,Comprehensive MCO
Arizona,Cochise,"Az Complete Health","Behavioral Health","1,560","10,495",184,14.86%,36,9:01,2020,Comprehensive MCO
Arizona,Cochise,"Mercy Care","Behavioral Health",*,*,126,29.17%,27,*,2020,Comprehensive MCO
Arizona,Cochise,"Ltc Dd Des","Behavioral Health",220,293,181,75.09%,281,2:01,2020,Comprehensive MCO
Arizona,Cochise,"Health Choice Arizona","Behavioral Health",*,*,99,20.00%,16,*,2020,Comprehensive MCO
Arizona,Cochise,"United Healthcare","Behavioral Health",14,91,148,15.38%,13,1:11,2020,Comprehensive MCO
Arizona,Cochise,Care1st,"Behavioral Health",*,*,81,0.00%,,*,2020,Comprehensive MCO
Arizona,Cochise,Cenpatico,"Behavioral Health",*,*,0,0.00%,,*,2020,Comprehensive MCO
Arizona,Cochise,Molina,"Behavioral Health",*,*,62,0.00%,,*,2020,Comprehensive MCO
Arizona,Cochise,Care1st,"Behavioral Health",*,*,78,12.00%,48,*,2021,Comprehensive MCO
Arizona,Cochise,"Az Complete Health","Behavioral Health","1,911","12,862",184,14.86%,32,11:01,2021,Comprehensive MCO
Arizona,Cochise,"Bridgeway Health Solution","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Cochise,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Cochise,Molina,"Behavioral Health",*,*,66,11.11%,175,*,2021,Comprehensive MCO
Arizona,Cochise,"United Healthcare","Behavioral Health",*,*,161,7.75%,26,*,2021,Comprehensive MCO
Arizona,Cochise,"Mercy Care","Behavioral Health",35,74,121,47.30%,12,1:04,2021,Comprehensive MCO
Arizona,Cochise,"Ltc Dd Des","Behavioral Health",263,368,172,71.47%,329,2:01,2021,Comprehensive MCO
Arizona,Cochise,"Banner University Family Care","Behavioral Health","1,536","14,426",177,10.65%,32,9:01,2021,Comprehensive MCO
Arizona,Cochise,"Health Choice Arizona","Behavioral Health",*,*,110,10.94%,4,*,2021,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,"Behavioral Health",35,69,65,50.72%,39,1:02,2021,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,"Behavioral Health",58,111,76,52.25%,69,1:02,2022,Comprehensive MCO
Arizona,Cochise,"Az Complete Health","Behavioral Health","2,412","16,186",203,14.90%,32,12:01,2022,Comprehensive MCO
Arizona,Cochise,"United Healthcare","Behavioral Health",21,172,169,12.21%,28,1:09,2022,Comprehensive MCO
Arizona,Cochise,"Health Choice Arizona","Behavioral Health",*,*,90,17.65%,17,*,2022,Comprehensive MCO
Arizona,Cochise,"Bridgeway Health Solution","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Arizona,Cochise,"Ltc Dd Des","Behavioral Health",291,430,191,67.67%,327,2:01,2022,Comprehensive MCO
Arizona,Cochise,Molina,"Behavioral Health",*,*,50,20.00%,8,*,2022,Comprehensive MCO
Arizona,Cochise,"Banner University Family Care","Behavioral Health","2,011","17,402",187,11.56%,35,11:01,2022,Comprehensive MCO
Arizona,Cochise,Care1st,"Behavioral Health",*,*,67,14.29%,2,*,2022,Comprehensive MCO
Arizona,Cochise,"Mercy Care","Behavioral Health",63,142,133,44.37%,18,1:03,2022,Comprehensive MCO
Arizona,Cochise,Care1st,"Behavioral Health",*,*,73,25.40%,8,*,2023,Comprehensive MCO
Arizona,Cochise,"Az Complete Health","Behavioral Health","3,241","20,576",212,15.75%,34,16:01,2023,Comprehensive MCO
Arizona,Cochise,Molina,"Behavioral Health",*,*,55,0.00%,,*,2023,Comprehensive MCO
Arizona,Cochise,"Mercy Care","Behavioral Health",80,175,137,45.71%,15,1:02,2023,Comprehensive MCO
