Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
State,01,Alabama,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",183,"$886,841.13","$178,415.57","$152,674.75"
State,01,Alabama,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",156,"$473,801.34","$94,829.45","$82,712.72"
State,01,Alabama,005,"LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT",13,"$688,216.15","$129,615.92","$91,768.15"
State,01,Alabama,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",21,"$175,564.57","$40,385.10","$33,782.05"
State,01,Alabama,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",38,"$203,687.34","$34,504.18","$27,044.26"
State,01,Alabama,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",13,"$146,453.77","$24,701.69","$20,503.38"
State,01,Alabama,016,"AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC",37,"$204,285.62","$65,865.81","$39,724.14"
State,01,Alabama,018,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",46,"$1,576,143.57","$304,007.65","$288,903.09"
State,01,Alabama,020,"INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC",31,"$301,081.55","$76,315.03","$62,770.10"
State,01,Alabama,023,"CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O",181,"$214,995.12","$46,325.25","$36,139.50"
State,01,Alabama,024,"CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC",58,"$145,633.55","$29,936.26","$23,921.55"
State,01,Alabama,025,"CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC",288,"$230,938.36","$36,544.79","$30,574.41"
State,01,Alabama,026,"CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC",83,"$143,489.12","$23,639.01","$18,424.71"
State,01,Alabama,027,"CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC",112,"$118,493.26","$20,604.05","$16,382.62"
State,01,Alabama,028,"SPINAL PROCEDURES WITH MCC",38,"$277,621.26","$59,074.61","$31,352.13"
